"ReleaseNumber","Class","SortOrder","Group","NamespacePrefix","NamespaceName","URI","Link","Properties","Types","Codes"
"2.1","group",1,"Core","","","",,"1,478","212","21"
"2.1","namespace",1,"Core","nc","NIEM Core","http://niem.gov/niem/niem-core/2.0","http://release.niem.gov/niem/niem-core/2.0/niem-core.xsd","1,478","212","21"
"2.1","group",2,"Domain","","","",,"4,231","1,186","7,344"
"2.1","namespace",2,"Domain","cbrn","Chemical, Biological, Radiological, and Nuclear","http://niem.gov/niem/domains/cbrn/2.1","http://release.niem.gov/niem/domains/cbrn/2.1/cbrn.xsd","451","120",""
"2.1","namespace",2,"Domain","em","Emergency Management","http://niem.gov/niem/domains/emergencyManagement/2.1","http://release.niem.gov/niem/domains/emergencyManagement/2.1/emergencyManagement.xsd","261","75","70"
"2.1","namespace",2,"Domain","fs","Family Services","http://niem.gov/niem/domains/familyServices/2.1","http://release.niem.gov/niem/domains/familyServices/2.1/familyServices.xsd","213","102","400"
"2.1","namespace",2,"Domain","im","Immigration","http://niem.gov/niem/domains/immigration/2.1","http://release.niem.gov/niem/domains/immigration/2.1/immigration.xsd","343","89","481"
"2.1","namespace",2,"Domain","intel","Intelligence","http://niem.gov/niem/domains/intelligence/2.1","http://release.niem.gov/niem/domains/intelligence/2.1/intelligence.xsd","77","29",""
"2.1","namespace",2,"Domain","ip","Infrastructure Protection","http://niem.gov/niem/domains/infrastructureProtection/2.1","http://release.niem.gov/niem/domains/infrastructureProtection/2.1/infrastructureProtection.xsd","25","8","3"
"2.1","namespace",2,"Domain","it","International Trade","http://niem.gov/niem/domains/internationalTrade/2.1","http://release.niem.gov/niem/domains/internationalTrade/2.1/internationalTrade.xsd","451","160","2,236"
"2.1","namespace",2,"Domain","j","Justice","http://niem.gov/niem/domains/jxdm/4.1","http://release.niem.gov/niem/domains/jxdm/4.1/jxdm.xsd","1,386","215","49"
"2.1","namespace",2,"Domain","m","Maritime","http://niem.gov/niem/domains/maritime/2.1","http://release.niem.gov/niem/domains/maritime/2.1/maritime.xsd","438","57","132"
"2.1","namespace",2,"Domain","scr","Screening","http://niem.gov/niem/domains/screening/2.1","http://release.niem.gov/niem/domains/screening/2.1/screening.xsd","571","316","3,973"
"2.1","group",3,"Adapter","","","",,"3","3",""
"2.1","namespace",3,"Adapter","edxl-cap","EDXL Common Alerting Protocol","http://niem.gov/niem/edxl-cap/2.1","http://release.niem.gov/niem/edxl-cap/2.1/edxl-cap.xsd","1","1",""
"2.1","namespace",3,"Adapter","edxl-de","EDXL Distribution Element","http://niem.gov/niem/edxl-de/2.1","http://release.niem.gov/niem/edxl-de/2.1/edxl-de.xsd","1","1",""
"2.1","namespace",3,"Adapter","edxl-have","EDXL Hospital Availability Exchange","http://niem.gov/niem/edxl-have/2.1","http://release.niem.gov/niem/edxl-have/2.1/edxl-have.xsd","1","1",""
"2.1","namespace",3,"Adapter","geo","Geospatial","http://niem.gov/niem/geospatial/2.1","http://release.niem.gov/niem/geospatial/2.1/geospatial.xsd","15","15",""
"2.1","group",5,"Code Set","","","",,"253","835","39,361"
"2.1","namespace",5,"Code Set","ansi_d20","Data Dictionary for Traffic Record Systems (ANSI D20) codes","http://niem.gov/niem/ansi_d20/2.0","http://release.niem.gov/niem/ansi_d20/2.0/ansi_d20.xsd","","70","670"
"2.1","namespace",5,"Code Set","ansi-nist","ANSI NIST fingerprint and biometrics","http://niem.gov/niem/ansi-nist/2.0","http://release.niem.gov/niem/ansi-nist/2.0/ansi-nist.xsd","253","137","406"
"2.1","namespace",5,"Code Set","apco","Association of Public-Safety Communications Officials (APCO) codes","http://niem.gov/niem/apco/2.1","http://release.niem.gov/niem/apco/2.1/apco.xsd","","6","9"
"2.1","namespace",5,"Code Set","atf","Bureau of Alcohol, Tobacco, and Firearms (ATF) codes","http://niem.gov/niem/atf/2.0","http://release.niem.gov/niem/atf/2.0/atf.xsd","","8","98"
"2.1","namespace",5,"Code Set","can","Canada Post codes","http://niem.gov/niem/post-canada/2.0","http://release.niem.gov/niem/post-canada/2.0/post-canada.xsd","","2","13"
"2.1","namespace",5,"Code Set","cbrncl","CBRN domain codes","http://niem.gov/niem/cbrncl/2.1","http://release.niem.gov/niem/cbrncl/2.1/cbrncl.xsd","","158","1,047"
"2.1","namespace",5,"Code Set","census","US Census Bureau employment codes","http://niem.gov/niem/census/2.0","http://release.niem.gov/niem/census/2.0/census.xsd","","4","545"
"2.1","namespace",5,"Code Set","dea","Drug Enforcement Administration (DEA) Controlled Substances codes","http://niem.gov/niem/dea/2.1","http://release.niem.gov/niem/dea/2.1/dea.xsd","","2","51"
"2.1","namespace",5,"Code Set","dod_jcs-pub2.0","DoD Joint Publication 2.0 (JP 2-0) - Joint Intelligence codes","http://niem.gov/niem/dod_jcs-pub2.0-misc/2.0","http://release.niem.gov/niem/dod_jcs-pub2.0-misc/2.0/dod_jcs-pub2.0-misc.xsd","","2","7"
"2.1","namespace",5,"Code Set","edxl","Emergency Data Exchange Language","http://niem.gov/niem/edxl/2.1","http://release.niem.gov/niem/edxl/2.1/edxl.xsd","","4","24"
"2.1","namespace",5,"Code Set","fbi","FBI NCIC, NIBRS, and N-DEx codes","http://niem.gov/niem/fbi/2.0","http://release.niem.gov/niem/fbi/2.0/fbi.xsd","","172","18,394"
"2.1","namespace",5,"Code Set","fips_10-4","Federal Information Processing Standards (FIPS) 10-4 country and international state codes","http://niem.gov/niem/fips_10-4/2.0","http://release.niem.gov/niem/fips_10-4/2.0/fips_10-4.xsd","","4","4,437"
"2.1","namespace",5,"Code Set","fips_5-2","Federal Information Processing Standards (FIPS) 5-2 US state codes","http://niem.gov/niem/fips_5-2/2.0","http://release.niem.gov/niem/fips_5-2/2.0/fips_5-2.xsd","","4","129"
"2.1","namespace",5,"Code Set","fips_6-4","Federal Information Processing Standards (FIPS) 6-4 US county codes","http://niem.gov/niem/fips_6-4/2.0","http://release.niem.gov/niem/fips_6-4/2.0/fips_6-4.xsd","","2","355"
"2.1","namespace",5,"Code Set","have-codes","EDXL Hospital AVailability Exchange (HAVE) codes","http://niem.gov/niem/have-codes/2.1","http://release.niem.gov/niem/have-codes/2.1/have-codes.xsd","","24","43"
"2.1","namespace",5,"Code Set","hazmat","DOT Hazardous Materials (HAZMAT) codes","http://niem.gov/niem/hazmat/2.1","http://release.niem.gov/niem/hazmat/2.1/hazmat.xsd","","2","2,406"
"2.1","namespace",5,"Code Set","iso_3166","ISO 3166 country and subdivision codes","http://niem.gov/niem/iso_3166/2.0","http://release.niem.gov/niem/iso_3166/2.0/iso_3166.xsd","","6","732"
"2.1","namespace",5,"Code Set","iso_4217","ISO 4217 currency codes","http://niem.gov/niem/iso_4217/2.0","http://release.niem.gov/niem/iso_4217/2.0/iso_4217.xsd","","2","201"
"2.1","namespace",5,"Code Set","iso_639-3","ISO 639-3 language codes","http://niem.gov/niem/iso_639-3/2.0","http://release.niem.gov/niem/iso_639-3/2.0/iso_639-3.xsd","","2","7,589"
"2.1","namespace",5,"Code Set","itis","Integrated Transportation Information System (ITIS) codes","http://niem.gov/niem/itis/2.1","http://release.niem.gov/niem/itis/2.1/itis.xsd","","4","27"
"2.1","namespace",5,"Code Set","lasd","Los Angeles Sheriffs Department (LASD) codes","http://niem.gov/niem/lasd/2.0","http://release.niem.gov/niem/lasd/2.0/lasd.xsd","","4","458"
"2.1","namespace",5,"Code Set","mmucc_2","Model Minimum Uniform Crash Criteria (MMUCC) codes","http://niem.gov/niem/mmucc_2/2.1","http://release.niem.gov/niem/mmucc_2/2.1/mmucc_2.xsd","","154","683"
"2.1","namespace",5,"Code Set","mn_off","Minnesota statute and offense codes","http://niem.gov/niem/mn_offense/2.0","http://release.niem.gov/niem/mn_offense/2.0/mn_offense.xsd","","6","352"
"2.1","namespace",5,"Code Set","nga","National Geospatial Agency (NGA) codes","http://niem.gov/niem/nga/2.0","http://release.niem.gov/niem/nga/2.0/nga.xsd","","2","217"
"2.1","namespace",5,"Code Set","nlets","The International Justice and Public Safety Information Sharing Network (NLETS) codes","http://niem.gov/niem/nlets/2.1","http://release.niem.gov/niem/nlets/2.1/nlets.xsd","","6","20"
"2.1","namespace",5,"Code Set","nonauth","Non-authoritative codes","http://niem.gov/niem/nonauthoritative-code/2.0","http://release.niem.gov/niem/nonauthoritative-code/2.0/nonauthoritative-code.xsd","","10","29"
"2.1","namespace",5,"Code Set","sar","Suspicious Activity Reporting (SAR) codes","http://niem.gov/niem/sar/2.1","http://release.niem.gov/niem/sar/2.1/sar.xsd","","6","60"
"2.1","namespace",5,"Code Set","twpdes","Terrorist Watchlist Person Data Exchange Standard (TWPDES) codes","http://niem.gov/niem/twpdes/2.0","http://release.niem.gov/niem/twpdes/2.0/twpdes.xsd","","10","63"
"2.1","namespace",5,"Code Set","ucr","FBI Uniform Crime Reporting (UCR) codes","http://niem.gov/niem/ucr/2.0","http://release.niem.gov/niem/ucr/2.0/ucr.xsd","","2","57"
"2.1","namespace",5,"Code Set","unece","United Nations Economic Commission for Europe (UNECE) Recommendation 20 (UN/CEFACT) measure codes","http://niem.gov/niem/unece_rec20-misc/2.0","http://release.niem.gov/niem/unece_rec20-misc/2.0/unece_rec20-misc.xsd","","8","68"
"2.1","namespace",5,"Code Set","usps","U.S. Postal Service (USPS) codes","http://niem.gov/niem/usps_states/2.0","http://release.niem.gov/niem/usps_states/2.0/usps_states.xsd","","2","62"
"2.1","namespace",5,"Code Set","ut_offender","Utah Offender Tracking Database codes","http://niem.gov/niem/ut_offender-tracking-misc/2.0","http://release.niem.gov/niem/ut_offender-tracking-misc/2.0/ut_offender-tracking-misc.xsd","","10","109"
"2.1","total",99,"Total","","","",,"5,965","2,236","46,726"
