"ReleaseNumber","Class","SortOrder","Group","NamespacePrefix","NamespaceName","URI","Link","Properties","Types","Codes"
"5.2","group",1,"Core","","","",,"1,810","282","101"
"5.2","namespace",1,"Core","nc","NIEM Core","http://release.niem.gov/niem/niem-core/5.0/","http://release.niem.gov/niem/niem-core/5.0/","1,810","282","101"
"5.2","group",2,"Domain","","","",,"16,470","8,623","33,427"
"5.2","namespace",2,"Domain","ag","Agriculture","http://release.niem.gov/niem/domains/agriculture/5.2/","http://release.niem.gov/niem/domains/agriculture/5.2/","64","8",""
"5.2","namespace",2,"Domain","biom","Biometrics","http://release.niem.gov/niem/domains/biometrics/5.2/","http://release.niem.gov/niem/domains/biometrics/5.2/","1,097","628","1,406"
"5.2","namespace",2,"Domain","cbrn","Chemical, Biological, Radiological, and Nuclear","http://release.niem.gov/niem/domains/cbrn/5.2/","http://release.niem.gov/niem/domains/cbrn/5.2/","592","137",""
"5.2","namespace",2,"Domain","cyber","Cyber","http://release.niem.gov/niem/domains/cyber/5.2/","http://release.niem.gov/niem/domains/cyber/5.2/","414","164","1,094"
"5.2","namespace",2,"Domain","em","Emergency Management","http://release.niem.gov/niem/domains/emergencyManagement/5.2/","http://release.niem.gov/niem/domains/emergencyManagement/5.2/","950","366","1,240"
"5.2","namespace",2,"Domain","hs","Human Services","http://release.niem.gov/niem/domains/humanServices/5.2/","http://release.niem.gov/niem/domains/humanServices/5.2/","806","275","1,048"
"5.2","namespace",2,"Domain","im","Immigration","http://release.niem.gov/niem/domains/immigration/5.2/","http://release.niem.gov/niem/domains/immigration/5.2/","445","94","1,388"
"5.2","namespace",2,"Domain","intel","Intelligence","http://release.niem.gov/niem/domains/intelligence/5.2/","http://release.niem.gov/niem/domains/intelligence/5.2/","56","14",""
"5.2","namespace",2,"Domain","ip","Infrastructure Protection","http://release.niem.gov/niem/domains/infrastructureProtection/5.0/","http://release.niem.gov/niem/domains/infrastructureProtection/5.0/","31","8","3"
"5.2","namespace",2,"Domain","it","International Trade","http://release.niem.gov/niem/domains/internationalTrade/5.2/","http://release.niem.gov/niem/domains/internationalTrade/5.2/","530","90",""
"5.2","namespace",2,"Domain","j","Justice","http://release.niem.gov/niem/domains/jxdm/7.2/","http://release.niem.gov/niem/domains/jxdm/7.2/","3,953","489","361"
"5.2","namespace",2,"Domain","lrn-dev","Learning and Development","http://release.niem.gov/niem/domains/learn-dev/5.2/","http://release.niem.gov/niem/domains/learn-dev/5.2/","95","13","8"
"5.2","namespace",2,"Domain","m","Maritime","http://release.niem.gov/niem/domains/maritime/5.2/","http://release.niem.gov/niem/domains/maritime/5.2/","333","47","180"
"5.2","namespace",2,"Domain","mo","Military Operations","http://release.niem.gov/niem/domains/militaryOperations/5.2/","http://release.niem.gov/niem/domains/militaryOperations/5.2/","744","286","1,305"
