"ReleaseNumber","Class","SortOrder","Group","NamespacePrefix","NamespaceName","URI","Link","Properties","Types","Codes"
"1.0","namespace",5,"Code Set","mn_off","Minnesota statute and offense codes","http://niem.gov/niem/mn_offense/1.0","http://release.niem.gov/niem/mn_offense/1.0/mn_offense.xsd","","6","352"
"1.0","namespace",5,"Code Set","ncic","FBI National Crime and Information Center (NCIC) codes","http://niem.gov/niem/ncic_2000/1.0","http://release.niem.gov/niem/ncic_2000/1.0/ncic_2000.xsd","","122","17,791"
"1.0","namespace",5,"Code Set","nibrs","FBI National Incident-Based Reporting System (NIBRS) codes","http://niem.gov/niem/nibrs_misc/1.0","http://release.niem.gov/niem/nibrs_misc/1.0/nibrs_misc.xsd","","44","256"
"1.0","namespace",5,"Code Set","nlets","The International Justice and Public Safety Information Sharing Network (NLETS) codes","http://niem.gov/niem/nlets/1.0","http://release.niem.gov/niem/nlets/1.0/nlets.xsd","","6","20"
"1.0","namespace",5,"Code Set","nonauth","Non-authoritative codes","http://niem.gov/niem/nonauthoritative-code/1.0","http://release.niem.gov/niem/nonauthoritative-code/1.0/nonauthoritative-code.xsd","","10","29"
"1.0","namespace",5,"Code Set","twpdes","Terrorist Watchlist Person Data Exchange Standard (TWPDES) codes","http://niem.gov/niem/twpdes/1.0","http://release.niem.gov/niem/twpdes/1.0/twpdes.xsd","","10","63"
"1.0","namespace",5,"Code Set","ucr","FBI Uniform Crime Reporting (UCR) codes","http://niem.gov/niem/ucr/1.0","http://release.niem.gov/niem/ucr/1.0/ucr.xsd","","2","57"
"1.0","namespace",5,"Code Set","unece","United Nations Economic Commission for Europe (UNECE) Recommendation 20 (UN/CEFACT) measure codes","http://niem.gov/niem/unece_rec20-misc/1.0","http://release.niem.gov/niem/unece_rec20-misc/1.0/unece_rec20-misc.xsd","","8","64"
"1.0","namespace",5,"Code Set","usps","U.S. Postal Service (USPS) codes","http://niem.gov/niem/usps_states/1.0","http://release.niem.gov/niem/usps_states/1.0/usps_states.xsd","","2","62"
"1.0","namespace",5,"Code Set","ut_offender","Utah Offender Tracking Database codes","http://niem.gov/niem/ut_offender-tracking-misc/1.0","http://release.niem.gov/niem/ut_offender-tracking-misc/1.0/ut_offender-tracking-misc.xsd","","10","109"
"1.0","total",99,"Total","","","",,"4,185","1,420","31,213"
