"ReleaseNumber","Class","SortOrder","Group","NamespacePrefix","NamespaceName","URI","Link","Properties","Types","Codes"
"1.0","group",1,"Core","","","",,"1,540","195","35"
"1.0","namespace",1,"Core","c","NIEM Common Core","http://niem.gov/niem/common/1.0","http://release.niem.gov/niem/common/1.0/common.xsd","1,204","135","20"
"1.0","namespace",1,"Core","u","NIEM Universal Core","http://niem.gov/niem/universal/1.0","http://release.niem.gov/niem/universal/1.0/universal.xsd","336","60","15"
"1.0","group",2,"Domain","","","",,"2,550","633","4,104"
"1.0","namespace",2,"Domain","em","Emergency Management","http://niem.gov/niem/domains/emergencyManagement/1.0","http://release.niem.gov/niem/domains/emergencyManagement/1.0/emergencyManagement.xsd","176","42","10"
"1.0","namespace",2,"Domain","im","Immigration","http://niem.gov/niem/domains/immigration/1.0","http://release.niem.gov/niem/domains/immigration/1.0/immigration.xsd","343","75","186"
"1.0","namespace",2,"Domain","intel","Intelligence","http://niem.gov/niem/domains/intelligence/1.0","http://release.niem.gov/niem/domains/intelligence/1.0/intelligence.xsd","82","29",""
"1.0","namespace",2,"Domain","ip","Infrastructure Protection","http://niem.gov/niem/domains/infrastructureProtection/1.0","http://release.niem.gov/niem/domains/infrastructureProtection/1.0/infrastructureProtection.xsd","23","9",""
"1.0","namespace",2,"Domain","it","International Trade","http://niem.gov/niem/domains/internationalTrade/1.0","http://release.niem.gov/niem/domains/internationalTrade/1.0/internationalTrade.xsd","119","20",""
"1.0","namespace",2,"Domain","j","Justice","http://niem.gov/niem/domains/justice/1.0","http://release.niem.gov/niem/domains/justice/1.0/justice.xsd","1,300","136",""
"1.0","namespace",2,"Domain","scr","Screening","http://niem.gov/niem/domains/screening/1.0","http://release.niem.gov/niem/domains/screening/1.0/screening.xsd","507","322","3,908"
"1.0","group",3,"Adapter","","","",,"76","68",""
"1.0","namespace",3,"Adapter","edxl-cap","EDXL Common Alerting Protocol","http://niem.gov/niem/edxl-cap/1.0","http://release.niem.gov/niem/edxl-cap/1.0/edxl-cap.xsd","1","1",""
"1.0","namespace",3,"Adapter","edxl-de","EDXL Distribution Element","http://niem.gov/niem/edxl-de/1.0","http://release.niem.gov/niem/edxl-de/1.0/edxl-de.xsd","1","1",""
"1.0","namespace",3,"Adapter","gs","Geospatial","http://niem.gov/niem/geospatial/1.0","http://release.niem.gov/niem/geospatial/1.0/geospatial.xsd","74","66",""
"1.0","group",5,"Code Set","","","",,"19","524","27,074"
"1.0","namespace",5,"Code Set","ansi_d20","Data Dictionary for Traffic Record Systems (ANSI D20) codes","http://niem.gov/niem/ansi_d20/1.0","http://release.niem.gov/niem/ansi_d20/1.0/ansi_d20.xsd","","72","672"
"1.0","namespace",5,"Code Set","apco","Association of Public-Safety Communications Officials (APCO) codes","http://niem.gov/niem/apco/1.0","http://release.niem.gov/niem/apco/1.0/apco.xsd","","6","9"
"1.0","namespace",5,"Code Set","can","Canada Post codes","http://niem.gov/niem/post-canada/1.0","http://release.niem.gov/niem/post-canada/1.0/post-canada.xsd","","2","13"
"1.0","namespace",5,"Code Set","census","US Census Bureau employment codes","http://niem.gov/niem/census/1.0","http://release.niem.gov/niem/census/1.0/census.xsd","","4","545"
"1.0","namespace",5,"Code Set","dod","Department of Defense (DoD) security level codes","http://niem.gov/niem/dod_misc/1.0","http://release.niem.gov/niem/dod_misc/1.0/dod_misc.xsd","","2","16"
"1.0","namespace",5,"Code Set","dod_jcs-pub2.0","DoD Joint Publication 2.0 (JP 2-0) - Joint Intelligence codes","http://niem.gov/niem/dod_jcs-pub2.0-misc/1.0","http://release.niem.gov/niem/dod_jcs-pub2.0-misc/1.0/dod_jcs-pub2.0-misc.xsd","","2","7"
"1.0","namespace",5,"Code Set","edxl","Emergency Data Exchange Language","http://niem.gov/niem/edxl/1.0","http://release.niem.gov/niem/edxl/1.0/edxl.xsd","","4","24"
"1.0","namespace",5,"Code Set","eo-12958","Presidential Executive Order 12958 security classification codes","http://niem.gov/niem/eo-12958/1.0","http://release.niem.gov/niem/eo-12958/1.0/eo-12958.xsd","","2","19"
"1.0","namespace",5,"Code Set","fips_10-4","Federal Information Processing Standards (FIPS) 10-4 country and international state codes","http://niem.gov/niem/fips_10-4/1.0","http://release.niem.gov/niem/fips_10-4/1.0/fips_10-4.xsd","","4","3,427"
"1.0","namespace",5,"Code Set","fips_5-2","Federal Information Processing Standards (FIPS) 5-2 US state codes","http://niem.gov/niem/fips_5-2/1.0","http://release.niem.gov/niem/fips_5-2/1.0/fips_5-2.xsd","","4","129"
"1.0","namespace",5,"Code Set","fips_6-4","Federal Information Processing Standards (FIPS) 6-4 US county codes","http://niem.gov/niem/fips_6-4/1.0","http://release.niem.gov/niem/fips_6-4/1.0/fips_6-4.xsd","","2","355"
"1.0","namespace",5,"Code Set","have","EDXL Hospital AVailability Exchange (HAVE)","http://niem.gov/niem/have/1.0","http://release.niem.gov/niem/have/1.0/have.xsd","","24","43"
"1.0","namespace",5,"Code Set","ism","Intelligence Community Information Security Marking (IC-ISM) codes","http://niem.gov/niem/ic-ism/1.0","http://release.niem.gov/niem/ic-ism/1.0/ic-ism.xsd","19","2","17"
"1.0","namespace",5,"Code Set","iso_3166","ISO 3166 country and subdivision codes","http://niem.gov/niem/iso_3166/1.0","http://release.niem.gov/niem/iso_3166/1.0/iso_3166.xsd","","6","720"
"1.0","namespace",5,"Code Set","iso_4217","ISO 4217 currency codes","http://niem.gov/niem/iso_4217/1.0","http://release.niem.gov/niem/iso_4217/1.0/iso_4217.xsd","","2","201"
"1.0","namespace",5,"Code Set","iso_639-2b","ISO 639-3 language codes","http://niem.gov/niem/iso_639-2b/1.0","http://release.niem.gov/niem/iso_639-2b/1.0/iso_639-2b.xsd","","2","453"
"1.0","namespace",5,"Code Set","iso_639-2t","ISO 639-3 language codes","http://niem.gov/niem/iso_639-2t/1.0","http://release.niem.gov/niem/iso_639-2t/1.0/iso_639-2t.xsd","","2","453"
"1.0","namespace",5,"Code Set","itis","Integrated Transportation Information System (ITIS) codes","http://niem.gov/niem/itis/1.0","http://release.niem.gov/niem/itis/1.0/itis.xsd","","4","27"
"1.0","namespace",5,"Code Set","lasd","Los Angeles Sheriffs Department (LASD) codes","http://niem.gov/niem/lasd/1.0","http://release.niem.gov/niem/lasd/1.0/lasd.xsd","","4","458"
"1.0","namespace",5,"Code Set","mmucc_2","Model Minimum Uniform Crash Criteria (MMUCC) codes","http://niem.gov/niem/mmucc_2/1.0","http://release.niem.gov/niem/mmucc_2/1.0/mmucc_2.xsd","","154","683"
