"ReleaseNumber","Class","SortOrder","Group","NamespacePrefix","NamespaceName","URI","Link","Properties","Types","Codes"
"4.1","group",1,"Core","","","",,"1,586","269","185"
"4.1","namespace",1,"Core","nc","NIEM Core","http://release.niem.gov/niem/niem-core/4.0/","http://release.niem.gov/niem/niem-core/4.0/niem-core.xsd","1,586","269","185"
"4.1","group",2,"Domain","","","",,"9,727","2,501","9,393"
"4.1","namespace",2,"Domain","ag","Agriculture","http://release.niem.gov/niem/domains/agriculture/4.0/","http://release.niem.gov/niem/domains/agriculture/4.0/agriculture.xsd","64","8",""
"4.1","namespace",2,"Domain","biom","Biometrics","http://release.niem.gov/niem/domains/biometrics/4.1/","http://release.niem.gov/niem/domains/biometrics/4.1/biom.xsd","1,014","590","1,328"
"4.1","namespace",2,"Domain","cbrn","Chemical, Biological, Radiological, and Nuclear","http://release.niem.gov/niem/domains/cbrn/4.1/","http://release.niem.gov/niem/domains/cbrn/4.1/cbrn.xsd","608","147",""
"4.1","namespace",2,"Domain","em","Emergency Management","http://release.niem.gov/niem/domains/emergencyManagement/4.1/","http://release.niem.gov/niem/domains/emergencyManagement/4.1/emergencyManagement.xsd","687","287","1,198"
"4.1","namespace",2,"Domain","hs","Human Services","http://release.niem.gov/niem/domains/humanServices/4.1/","http://release.niem.gov/niem/domains/humanServices/4.1/hs.xsd","812","276","1,048"
"4.1","namespace",2,"Domain","im","Immigration","http://release.niem.gov/niem/domains/immigration/4.1/","http://release.niem.gov/niem/domains/immigration/4.1/immigration.xsd","457","95","1,388"
"4.1","namespace",2,"Domain","intel","Intelligence","http://release.niem.gov/niem/domains/intelligence/4.1/","http://release.niem.gov/niem/domains/intelligence/4.1/intelligence.xsd","66","17",""
"4.1","namespace",2,"Domain","ip","Infrastructure Protection","http://release.niem.gov/niem/domains/infrastructureProtection/4.0/","http://release.niem.gov/niem/domains/infrastructureProtection/4.0/infrastructureProtection.xsd","31","8","3"
"4.1","namespace",2,"Domain","it","International Trade","http://release.niem.gov/niem/domains/internationalTrade/4.1/","http://release.niem.gov/niem/domains/internationalTrade/4.1/internationalTrade.xsd","534","91",""
"4.1","namespace",2,"Domain","j","Justice","http://release.niem.gov/niem/domains/jxdm/6.1/","http://release.niem.gov/niem/domains/jxdm/6.1/jxdm.xsd","4,147","498","209"
