"ReleaseNumber","Class","SortOrder","Group","NamespacePrefix","NamespaceName","URI","Link","Properties","Types","Codes"
"2.0","namespace",5,"Code Set","lasd","Los Angeles Sheriffs Department (LASD) codes","http://niem.gov/niem/lasd/2.0","http://release.niem.gov/niem/lasd/2.0/lasd.xsd","","4","458"
"2.0","namespace",5,"Code Set","mmucc_2","Model Minimum Uniform Crash Criteria (MMUCC) codes","http://niem.gov/niem/mmucc_2/2.0","http://release.niem.gov/niem/mmucc_2/2.0/mmucc_2.xsd","","154","683"
"2.0","namespace",5,"Code Set","mn_off","Minnesota statute and offense codes","http://niem.gov/niem/mn_offense/2.0","http://release.niem.gov/niem/mn_offense/2.0/mn_offense.xsd","","6","352"
"2.0","namespace",5,"Code Set","nga","National Geospatial Agency (NGA) codes","http://niem.gov/niem/nga/2.0","http://release.niem.gov/niem/nga/2.0/nga.xsd","","2","217"
"2.0","namespace",5,"Code Set","nlets","The International Justice and Public Safety Information Sharing Network (NLETS) codes","http://niem.gov/niem/nlets/2.0","http://release.niem.gov/niem/nlets/2.0/nlets.xsd","","6","20"
"2.0","namespace",5,"Code Set","nonauth","Non-authoritative codes","http://niem.gov/niem/nonauthoritative-code/2.0","http://release.niem.gov/niem/nonauthoritative-code/2.0/nonauthoritative-code.xsd","","10","29"
"2.0","namespace",5,"Code Set","sar","Suspicious Activity Reporting (SAR) codes","http://niem.gov/niem/sar/2.0","http://release.niem.gov/niem/sar/2.0/sar.xsd","","6","52"
"2.0","namespace",5,"Code Set","twpdes","Terrorist Watchlist Person Data Exchange Standard (TWPDES) codes","http://niem.gov/niem/twpdes/2.0","http://release.niem.gov/niem/twpdes/2.0/twpdes.xsd","","10","63"
"2.0","namespace",5,"Code Set","ucr","FBI Uniform Crime Reporting (UCR) codes","http://niem.gov/niem/ucr/2.0","http://release.niem.gov/niem/ucr/2.0/ucr.xsd","","2","57"
"2.0","namespace",5,"Code Set","unece","United Nations Economic Commission for Europe (UNECE) Recommendation 20 (UN/CEFACT) measure codes","http://niem.gov/niem/unece_rec20-misc/2.0","http://release.niem.gov/niem/unece_rec20-misc/2.0/unece_rec20-misc.xsd","","8","68"
"2.0","namespace",5,"Code Set","usps","U.S. Postal Service (USPS) codes","http://niem.gov/niem/usps_states/2.0","http://release.niem.gov/niem/usps_states/2.0/usps_states.xsd","","2","62"
"2.0","namespace",5,"Code Set","ut_offender","Utah Offender Tracking Database codes","http://niem.gov/niem/ut_offender-tracking-misc/2.0","http://release.niem.gov/niem/ut_offender-tracking-misc/2.0/ut_offender-tracking-misc.xsd","","10","109"
"2.0","total",99,"Total","","","",,"4,232","1,563","42,593"
