"ReleaseNumber","Class","SortOrder","Group","NamespacePrefix","NamespaceName","URI","Link","Properties","Types","Codes"
"3.1","namespace",5,"Code Set","ansi_d20","Data Dictionary for Traffic Record Systems (ANSI D20) codes","http://release.niem.gov/niem/codes/ansi_d20/3.1/","http://release.niem.gov/niem/codes/ansi_d20/3.1/ansi_d20.xsd","","84","732"
"3.1","namespace",5,"Code Set","apco","Association of Public-Safety Communications Officials (APCO) codes","http://release.niem.gov/niem/codes/apco_event/3.0/","http://release.niem.gov/niem/codes/apco_event/3.0/apco_event.xsd","","8","206"
"3.1","namespace",5,"Code Set","atf","Bureau of Alcohol, Tobacco, and Firearms (ATF) codes","http://release.niem.gov/niem/codes/atf/3.0/","http://release.niem.gov/niem/codes/atf/3.0/atf.xsd","","8","98"
"3.1","namespace",5,"Code Set","can","Canada Post codes","http://release.niem.gov/niem/codes/canada_post/3.0/","http://release.niem.gov/niem/codes/canada_post/3.0/post-canada.xsd","","2","13"
"3.1","namespace",5,"Code Set","cbrncl","CBRN domain codes","http://release.niem.gov/niem/codes/cbrncl/3.0/","http://release.niem.gov/niem/codes/cbrncl/3.0/cbrncl.xsd","","131","2,435"
"3.1","namespace",5,"Code Set","census","US Census Bureau county codes","http://release.niem.gov/niem/codes/census_uscounty/3.0/","http://release.niem.gov/niem/codes/census_uscounty/3.0/census_uscounty.xsd","","2","3,235"
"3.1","namespace",5,"Code Set","commodity","Standard Classification of Transported Goods (SCTG) Commodity Codes","http://release.niem.gov/niem/codes/census_commodity/3.0/","http://release.niem.gov/niem/codes/census_commodity/3.0/census_commodity.xsd","","8","131"
"3.1","namespace",5,"Code Set","core_misc","Non-authoritative codes","http://release.niem.gov/niem/codes/core_misc/3.0/","http://release.niem.gov/niem/codes/core_misc/3.0/core_misc.xsd","","22","123"
"3.1","namespace",5,"Code Set","dea","Drug Enforcement Administration (DEA) Controlled Substances codes","http://release.niem.gov/niem/codes/dea_ctlsub/3.0/","http://release.niem.gov/niem/codes/dea_ctlsub/3.0/dea.xsd","","6","454"
"3.1","namespace",5,"Code Set","dod_jcs-pub2.0","DoD Joint Publication 2.0 (JP 2-0) - Joint Intelligence codes","http://release.niem.gov/niem/codes/dod_jcs-pub2.0/3.0/","http://release.niem.gov/niem/codes/dod_jcs-pub2.0/3.0/dod_jcs-pub2.0.xsd","","2","5"
"3.1","namespace",5,"Code Set","dol","Standard Occupational Classification (SOC) occupation codes","http://release.niem.gov/niem/codes/dol_soc/3.0/","http://release.niem.gov/niem/codes/dol_soc/3.0/dol_soc.xsd","","2","840"
"3.1","namespace",5,"Code Set","edxl_rm","Emergency Data Exchange Language (EDXL) Resource Messaging codes","http://release.niem.gov/niem/codes/edxl_rm/3.0/","http://release.niem.gov/niem/codes/edxl_rm/3.0/edxl_rm.xsd","","4","24"
"3.1","namespace",5,"Code Set","fips_10-4","Federal Information Processing Standards (FIPS) 10-4 country and international state codes","http://release.niem.gov/niem/codes/fips_10-4/3.0/","http://release.niem.gov/niem/codes/fips_10-4/3.0/fips_10-4.xsd","","4","4,239"
"3.1","namespace",5,"Code Set","fips_5-2","Federal Information Processing Standards (FIPS) 5-2 US state codes","http://release.niem.gov/niem/codes/fips_5-2/3.0/","http://release.niem.gov/niem/codes/fips_5-2/3.0/fips_5-2.xsd","","4","129"
"3.1","namespace",5,"Code Set","fips_6-4","Federal Information Processing Standards (FIPS) 6-4 US county codes","http://release.niem.gov/niem/codes/fips_6-4/3.0/","http://release.niem.gov/niem/codes/fips_6-4/3.0/fips_6-4.xsd","","2","355"
"3.1","namespace",5,"Code Set","genc","Geopolitical Entities, Names, and Codes (GENC) codes","http://release.niem.gov/niem/codes/nga_genc/3.0/","http://release.niem.gov/niem/codes/nga_genc/3.0/nga_genc.xsd","","2","282"
"3.1","namespace",5,"Code Set","have-codes","EDXL Hospital AVailability Exchange (HAVE) codes","http://release.niem.gov/niem/codes/edxl_have/3.0/","http://release.niem.gov/niem/codes/edxl_have/3.0/have-codes.xsd","","24","43"
"3.1","namespace",5,"Code Set","hazmat","DOT Hazardous Materials (HAZMAT) codes","http://release.niem.gov/niem/codes/dot_hazmat/3.0/","http://release.niem.gov/niem/codes/dot_hazmat/3.0/dot_hazmat.xsd","","2","2,406"
"3.1","namespace",5,"Code Set","hl7","Health Level Seven (HL-7) religion codes","http://release.niem.gov/niem/codes/hl7/3.0/","http://release.niem.gov/niem/codes/hl7/3.0/hl7.xsd","","2","83"
"3.1","namespace",5,"Code Set","iso_3166","ISO 3166 country and subdivision codes","http://release.niem.gov/niem/codes/iso_3166-1/3.0/","http://release.niem.gov/niem/codes/iso_3166-1/3.0/iso_3166-1.xsd","","2","249"
"3.1","namespace",5,"Code Set","iso_4217","ISO 4217 currency codes","http://release.niem.gov/niem/codes/iso_4217/3.0/","http://release.niem.gov/niem/codes/iso_4217/3.0/iso_4217.xsd","","2","182"
"3.1","namespace",5,"Code Set","iso_639-3","ISO 639-3 language codes","http://release.niem.gov/niem/codes/iso_639-3/3.0/","http://release.niem.gov/niem/codes/iso_639-3/3.0/iso_639-3.xsd","","2","8,393"
"3.1","namespace",5,"Code Set","itcodes","International Trade domain codes","http://release.niem.gov/niem/codes/it_codes/3.0/","http://release.niem.gov/niem/codes/it_codes/3.0/it_codes.xsd","","44","2,219"
"3.1","namespace",5,"Code Set","jc3iedm","DoD Joint Consultation, Command and Control Information Exchange Data Model (JC3IEDM) codes","http://release.niem.gov/niem/codes/jc3iedm/3.1/","http://release.niem.gov/niem/codes/jc3iedm/3.1/jc3iedm.xsd","2","4","364"
"3.1","namespace",5,"Code Set","jp3-52","DoD Joint Publication 3-52 (JP3-52) Joint Airspace Control codes","http://release.niem.gov/niem/codes/jp3-52/3.1/","http://release.niem.gov/niem/codes/jp3-52/3.1/jp3-52.xsd","3","5","117"
"3.1","namespace",5,"Code Set","mmucc","Model Minimum Uniform Crash Criteria (MMUCC) codes","http://release.niem.gov/niem/codes/mmucc/3.1/","http://release.niem.gov/niem/codes/mmucc/3.1/mmucc.xsd","","160","753"
"3.1","namespace",5,"Code Set","ncic","FBI National Crime and Information Center (NCIC) codes","http://release.niem.gov/niem/codes/fbi_ncic/3.1/","http://release.niem.gov/niem/codes/fbi_ncic/3.1/fbi_ncic.xsd","","114","37,620"
"3.1","namespace",5,"Code Set","ndex","FBI National Data Exchange (N-DEx) Specification codes","http://release.niem.gov/niem/codes/fbi_ndex/3.1/","http://release.niem.gov/niem/codes/fbi_ndex/3.1/fbi_ndex.xsd","","240","4,288"
"3.1","namespace",5,"Code Set","nga","National Geospatial Agency (NGA) codes","http://release.niem.gov/niem/codes/nga_datum/3.0/","http://release.niem.gov/niem/codes/nga_datum/3.0/nga_datum.xsd","","4","50"
"3.1","namespace",5,"Code Set","nlets","The International Justice and Public Safety Information Sharing Network (NLETS) codes","http://release.niem.gov/niem/codes/nlets/3.0/","http://release.niem.gov/niem/codes/nlets/3.0/nlets.xsd","","6","20"
"3.1","namespace",5,"Code Set","occs","OMNI Class Building Codes","http://release.niem.gov/niem/codes/occs_facility/3.0/","http://release.niem.gov/niem/codes/occs_facility/3.0/occs_facility.xsd","","6","1,006"
"3.1","namespace",5,"Code Set","sar","Suspicious Activity Reporting (SAR) codes","http://release.niem.gov/niem/codes/pmise_sar/3.0/","http://release.niem.gov/niem/codes/pmise_sar/3.0/sar.xsd","","8","76"
"3.1","namespace",5,"Code Set","ucr","FBI Uniform Crime Reporting (UCR) codes","http://release.niem.gov/niem/codes/fbi_ucr/3.0/","http://release.niem.gov/niem/codes/fbi_ucr/3.0/fbi_ucr.xsd","","46","367"
"3.1","namespace",5,"Code Set","unece","United Nations Economic Commission for Europe (UNECE) Recommendation 20 (UN/CEFACT) measure codes","http://release.niem.gov/niem/codes/unece_rec20/3.0/","http://release.niem.gov/niem/codes/unece_rec20/3.0/unece_rec20-misc.xsd","","12","151"
"3.1","namespace",5,"Code Set","usps","U.S. Postal Service (USPS) codes","http://release.niem.gov/niem/codes/usps_states/3.0/","http://release.niem.gov/niem/codes/usps_states/3.0/usps_states.xsd","","2","61"
"3.1","namespace",5,"Code Set","xCard","vCard XML representation codes","http://release.niem.gov/niem/codes/xCard/3.0/","http://release.niem.gov/niem/codes/xCard/3.0/xCard.xsd","","2","9"
"3.1","total",99,"Total","","","",,"8,705","2,892","79,097"
