"ReleaseNumber","Class","SortOrder","Group","NamespacePrefix","NamespaceName","URI","Link","Properties","Types","Codes"
"3.1","group",1,"Core","","","",,"1,423","203","33"
"3.1","namespace",1,"Core","nc","NIEM Core","http://release.niem.gov/niem/niem-core/3.0/","http://release.niem.gov/niem/niem-core/3.0/niem-core.xsd","1,423","203","33"
"3.1","group",2,"Domain","","","",,"7,274","1,708","7,306"
"3.1","namespace",2,"Domain","biom","Biometrics","http://release.niem.gov/niem/domains/biometrics/3.1/","http://release.niem.gov/niem/domains/biometrics/3.1/biom.xsd","617","313","941"
"3.1","namespace",2,"Domain","cbrn","Chemical, Biological, Radiological, and Nuclear","http://release.niem.gov/niem/domains/cbrn/3.1/","http://release.niem.gov/niem/domains/cbrn/3.1/cbrn.xsd","608","147",""
"3.1","namespace",2,"Domain","cyfs","Children, Youth, and Family Services","http://release.niem.gov/niem/domains/cyfs/3.1/","http://release.niem.gov/niem/domains/cyfs/3.1/cyfs.xsd","609","185","697"
"3.1","namespace",2,"Domain","em","Emergency Management","http://release.niem.gov/niem/domains/emergencyManagement/3.1/","http://release.niem.gov/niem/domains/emergencyManagement/3.1/emergencyManagement.xsd","295","69","70"
"3.1","namespace",2,"Domain","geo","Geospatial","http://release.niem.gov/niem/adapters/geospatial/3.0/","http://release.niem.gov/niem/adapters/geospatial/3.0/geospatial.xsd","7","13",""
"3.1","namespace",2,"Domain","hs","Human Services","http://release.niem.gov/niem/domains/humanServices/3.1/","http://release.niem.gov/niem/domains/humanServices/3.1/hs.xsd","53","19","15"
"3.1","namespace",2,"Domain","im","Immigration","http://release.niem.gov/niem/domains/immigration/3.1/","http://release.niem.gov/niem/domains/immigration/3.1/immigration.xsd","464","97","1,388"
"3.1","namespace",2,"Domain","intel","Intelligence","http://release.niem.gov/niem/domains/intelligence/3.1/","http://release.niem.gov/niem/domains/intelligence/3.1/intelligence.xsd","72","19",""
"3.1","namespace",2,"Domain","ip","Infrastructure Protection","http://release.niem.gov/niem/domains/infrastructureProtection/3.0/","http://release.niem.gov/niem/domains/infrastructureProtection/3.0/infrastructureProtection.xsd","31","8","3"
"3.1","namespace",2,"Domain","it","International Trade","http://release.niem.gov/niem/domains/internationalTrade/3.1/","http://release.niem.gov/niem/domains/internationalTrade/3.1/internationalTrade.xsd","538","91",""
"3.1","namespace",2,"Domain","j","Justice","http://release.niem.gov/niem/domains/jxdm/5.1/","http://release.niem.gov/niem/domains/jxdm/5.1/jxdm.xsd","2,832","365","193"
"3.1","namespace",2,"Domain","m","Maritime","http://release.niem.gov/niem/domains/maritime/3.1/","http://release.niem.gov/niem/domains/maritime/3.1/maritime.xsd","359","48","180"
"3.1","namespace",2,"Domain","mo","Military Operations","http://release.niem.gov/niem/domains/militaryOperations/3.1/","http://release.niem.gov/niem/domains/militaryOperations/3.1/mo.xsd","190","79","88"
"3.1","namespace",2,"Domain","scr","Screening","http://release.niem.gov/niem/domains/screening/3.1/","http://release.niem.gov/niem/domains/screening/3.1/screening.xsd","599","255","3,731"
"3.1","group",3,"Adapter","","","",,"3","3",""
"3.1","namespace",3,"Adapter","edxl-cap","EDXL Common Alerting Protocol","http://release.niem.gov/niem/adapters/edxl-cap/3.0/","http://release.niem.gov/niem/adapters/edxl-cap/3.0/edxl-cap.xsd","1","1",""
"3.1","namespace",3,"Adapter","edxl-de","EDXL Distribution Element","http://release.niem.gov/niem/adapters/edxl-de/3.0/","http://release.niem.gov/niem/adapters/edxl-de/3.0/edxl-de.xsd","1","1",""
"3.1","namespace",3,"Adapter","edxl-have","EDXL Hospital Availability Exchange","http://release.niem.gov/niem/adapters/edxl-have/3.0/","http://release.niem.gov/niem/adapters/edxl-have/3.0/edxl-have.xsd","1","1",""
"3.1","group",5,"Code Set","","","",,"5","978","71,758"
