"Group","Class","NamespacePrefix","NamespaceName","1_0","2_0","2_1","3_0","3_1","3_2","4_0","4_1","4_2","5_0","5_1","5_2"
"Code Set","namespace","hazmat","DOT Hazardous Materials (HAZMAT) codes","","2,380","2,406","2,406","2,406","2,406","2,441","2,441","2,441","2,458","2,458","2,458"
"Code Set","namespace","hl7","Health Level Seven (HL-7) religion codes","","","","83","83","83","83","83","83","82","82","82"
"Code Set","namespace","ism","Intelligence Community Information Security Marking (IC-ISM) codes","17","","","","","","","","","","",""
"Code Set","namespace","iso_3166","ISO 3166 country and subdivision codes","720","732","732","249","249","249","5,698","5,698","5,698","5,698","5,698","5,698"
"Code Set","namespace","iso_4217","ISO 4217 currency codes","201","201","201","182","182","182","182","182","182","179","179","179"
"Code Set","namespace","iso_639-2b","ISO 639-3 language codes","453","","","","","","","","","","",""
"Code Set","namespace","iso_639-2t","ISO 639-3 language codes","453","","","","","","","","","","",""
"Code Set","namespace","iso_639-3","ISO 639-3 language codes","","7,589","7,589","8,393","8,393","8,393","8,393","8,393","8,393","7,867","7,893","7,893"
"Code Set","namespace","iso_639-5","ISO 639-5 language family codes","","","","","","","","","","","","115"
"Code Set","namespace","itcodes","International Trade domain codes","","","","2,219","2,219","2,219","2,219","2,219","2,219","2,219","2,219","2,219"
"Code Set","namespace","itis","Integrated Transportation Information System (ITIS) codes","27","27","27","","","","","","","","",""
"Code Set","namespace","jc3iedm","DoD Joint Consultation, Command and Control Information Exchange Data Model (JC3IEDM) codes","","","","364","364","364","364","364","364","364","364","364"
"Code Set","namespace","jp2-0","DoD Joint Publication 2.0 (JP 2-0) - Joint Intelligence codes","","","","","","","","","","11","11","11"
"Code Set","namespace","jp3-52","DoD Joint Publication 3-52 (JP3-52) Joint Airspace Control codes","","","","117","117","117","117","117","117","117","117","117"
"Code Set","namespace","lasd","Los Angeles Sheriffs Department (LASD) codes","458","458","458","","","","","","","","",""
"Code Set","namespace","mmucc","Model Minimum Uniform Crash Criteria (MMUCC) codes","","","","797","753","700","700","700","700","700","700","700"
"Code Set","namespace","mmucc_2","Model Minimum Uniform Crash Criteria (MMUCC) codes","683","683","683","","","","","","","","",""
"Code Set","namespace","mn_off","Minnesota statute and offense codes","352","352","352","","","","","","","","",""
"Code Set","namespace","nces","National Center for Education Statistics (NCES) codes","","","","","","","","","","50","50","50"
"Code Set","namespace","ncic","FBI National Crime and Information Center (NCIC) codes","17,791","","","36,169","37,620","35,432","30,317","30,317","31,982","31,781","31,307","33,053"
"Code Set","namespace","ndex","FBI National Data Exchange (N-DEx) Specification codes","","","","4,271","4,288","4,288","4,288","4,352","4,560","3,643","3,643","3,643"
"Code Set","namespace","nga","National Geospatial Agency (NGA) codes","","217","217","50","50","50","50","50","50","50","50","50"
"Code Set","namespace","nibrs","FBI National Incident-Based Reporting System (NIBRS) codes","256","","","","","","156","156","","","",""
"Code Set","namespace","nlets","The International Justice and Public Safety Information Sharing Network (NLETS) codes","20","20","20","20","20","20","20","20","20","20","20","20"
"Code Set","namespace","nonauth","Non-authoritative codes","29","29","29","","","","","","","","",""
"Code Set","namespace","occs","OMNI Class Building Codes","","","","1,006","1,006","1,006","1,006","1,006","1,006","1,495","1,495","1,495"
"Code Set","namespace","opm","US Office of Personnel Management (OPM) codes","","","","","","","","","","22","22","22"
"Code Set","namespace","sar","Suspicious Activity Reporting (SAR) codes","","52","60","76","76","76","76","76","76","76","76","76"
"Code Set","namespace","stix","Structured Threat Information Expression (STIX) codes","","","","","","","","","","","18","18"
"Code Set","namespace","twpdes","Terrorist Watchlist Person Data Exchange Standard (TWPDES) codes","63","63","63","","","","","","","","",""
"Code Set","namespace","ucr","FBI Uniform Crime Reporting (UCR) codes","57","57","57","367","367","371","367","371","528","422","422","422"
"Code Set","namespace","unece","United Nations Economic Commission for Europe (UNECE) Recommendation 20 (UN/CEFACT) measure codes","64","68","68","151","151","151","151","151","151","226","226","226"
"Code Set","namespace","usda_fsa","United Stated Department of Agriculture (USDA) Farm Service Agency (FSA) codes","","","","","","","347","347","347","347","347","347"
"Code Set","namespace","usps","U.S. Postal Service (USPS) codes","62","62","62","61","61","61","62","62","62","276","276","276"
"Code Set","namespace","ut_offender","Utah Offender Tracking Database codes","109","109","109","","","","","","","","",""
"Code Set","namespace","xCard","vCard XML representation codes","","","","9","9","9","9","9","9","9","9","9"
"Code Set","namespace","xml","XML","","","","","","","","","","","",""
"Total","total","","","31,213","42,593","46,726","77,196","79,097","77,309","74,219","75,114","82,630","90,169","91,327","112,301"
